borza,par,volume,price
Bittrex,STEEM/BTC,"$691,753",$3923.93
Livecoin,LTC/BTC,"$691,690",$4102.51
Exmo,ETH/BTC,"$689,293",$4188.55
Kraken,EOS/BTC,"$683,310",$4113.88
Kraken,BTC/JPY,"$673,313",$4144.97
Liqui,BTC/USDT,"$671,128",$4014.07
Bittrex,BNT/BTC,"$671,095",$4114.10
Bittrex,ANT/BTC,"$670,671",$4126.30
Bittrex,BRK/BTC,"$661,963",$4163.23
IOTA Exchange,MIOTA/BTC,"$648,287",$4065.65
Cryptopia,SIGT/BTC,"$647,027",$4156.82
Bittrex,KMD/BTC,"$621,209",$4137.65
Kraken,ZEC/BTC,"$608,854",$4120.08
Bit520,BTC/CNY,"$601,690",$4150.27
Livecoin,FRST/BTC,"$594,378",$4137.56
Poloniex,ARDR/BTC,"$590,704",$4171.77
Bittrex,SYS/BTC,"$590,155",$4253.87
Bittrex,TX/BTC,"$584,638",$4142.57
Poloniex,XCP/BTC,"$566,628",$4406.71
Bittrex,IOC/BTC,"$559,628",$4137.61
Livecoin,DASH/BTC,"$559,435",$4106.02
Kraken,ICN/BTC,"$558,013",$4123.09
Bittrex,LUN/BTC,"$551,759",$4181.83
HitBTC,MAID/BTC,"$549,712",$4106.13
Liqui,GNT/BTC,"$548,493",$4130.21
Liqui,MGO/BTC,"$544,408",$4219.18
Liqui,STX/BTC,"$538,823",$4172.46
C-CEX,EB3/BTC,"$535,823",$4332.12
Poloniex,RADS/BTC,"$535,696",$4227.98
Bittrex,TKN/BTC,"$532,559",$4170.56
Bittrex,WINGS/BTC,"$532,050",$4138.10
Exmo,BTC/EUR,"$527,326",$4155.06
Liqui,BAT/BTC,"$525,631",$4121.46
Coinsquare,BTC/CAD,"$525,297",$4288.28
Bittrex,NXS/BTC,"$524,465",$4045.45
Bittrex,RISE/BTC,"$520,235",$4127.18
C-CEX,MCAP/BTC,"$504,397",$4292.74
xBTCe,LTC/BTC,"$497,739",$4379.20
HitBTC,XRP/BTC,"$495,501",$4165.30
Allcoin,GAME/BTC,"$492,205",$4256.03
Bittrex,XMY/BTC,"$489,022",$4028.41
Bittrex,REP/BTC,"$488,263",$4051.70
Bittrex,HMQ/BTC,"$486,300",$4114.21
Bittrex,XCP/BTC,"$483,647",$3915.73
CoinMate,BTC/EUR,"$480,242",$4132.54
Waves Decentralized Exchange,WAVES/BTC,"$462,059",$4157.80
Bittrex,ARDR/BTC,"$443,636",$4149.02
Kraken,XLM/BTC,"$427,699",$4342.02
Bittrex,RADS/BTC,"$424,166",$4227.52
Poloniex,VIA/BTC,"$420,649",$4414.18
Bittrex,CFI/BTC,"$418,167",$4149.61
Poloniex,GNO/BTC,"$409,301",$4044.10
Bittrex,BRX/BTC,"$407,811",$4249.12
Poloniex,AMP/BTC,"$401,496",$4125.34
YoBit,BTC/RUR,"$401,132",$4333.63
Luno,BTC/NGN,"$398,559",$4192.46
Bittrex,VIA/BTC,"$390,241",$3963.79
Gatecoin,BTC/HKD,"$385,504",$4281.69
YoBit,BTC/USD,"$381,642",$4116.53
Bittrex,1ST/BTC,"$376,725",$4079.38
DCExchange,BTC/USD,"$372,265",$4120.30
Livecoin,BCC/BTC,"$367,667",$4177.44
Bittrex,VOX/BTC,"$364,225",$4140.83
Bitfinex,SAN/BTC,"$359,007",$4135.64
Bittrex,BURST/BTC,"$358,775",$3919.22
Poloniex,NEOS/BTC,"$356,481",$4147.26
Bittrex,QRL/BTC,"$355,709",$4217.27
Bittrex,XBB/BTC,"$349,298",$4137.43
Bittrex,XAUR/BTC,"$342,999",$4158.58
Bittrex,TRST/BTC,"$342,971",$4113.50
Livecoin,XMR/BTC,"$341,264",$4033.01
Bittrex,ION/BTC,"$338,591",$4137.94
Bittrex,XZC/BTC,"$329,402",$4593.82
Bittrex,SEQ/BTC,"$322,550",$4137.60
Bittrex,SYNX/BTC,"$319,384",$4151.07
Bittrex,MYST/BTC,"$313,597",$4078.64
Bittylicious,BTC/GBP,"$308,161",$4725.18
Liqui,EDG/BTC,"$302,752",$4048.47
Bittrex,VTC/BTC,"$294,695",$4123.42
Bitex.la,BTC/USD,"$292,418",$4125.48
Bittrex,EMC2/BTC,"$286,134",$4203.56
Bittrex,SNGLS/BTC,"$282,544",$4173.87
Kraken,BTC/CAD,"$278,687",$4154.88
Bittrex,AMP/BTC,"$276,792",$4087.29
Exmo,DASH/BTC,"$269,427",$4197.95
Bittrex,XDN/BTC,"$265,637",$4065.00
Livecoin,LSK/BTC,"$265,390",$4012.56
Livecoin,TIME/BTC,"$265,149",$4168.63
QuadrigaCX,BTC/USD,"$261,446",$4201.00
Liqui,OMG/BTC,"$261,305",$4077.36
Bittrex,BLOCK/BTC,"$261,036",$4033.80
Lykke Exchange,BTC/USD,"$256,295",$4132.58
Bittrex,NEOS/BTC,"$255,821",$4192.23
Bittrex,RLC/BTC,"$242,800",$4111.04
Bittrex,SHIFT/BTC,"$240,083",$4168.89
BTER,BTM/BTC,"$239,695",$4109.96
Bittrex,VTR/BTC,"$238,599",$4137.61
Cryptopia,MSP/BTC,"$235,502",$4160.37
Poloniex,BELA/BTC,"$233,430",$4145.30
Poloniex,POT/BTC,"$233,362",$4148.18
Liqui,SNM/BTC,"$231,305",$4162.59
Liqui,ROUND/BTC,"$229,021",$4122.28
Bittrex,CLOAK/BTC,"$226,175",$4030.41
Bittrex,GNO/BTC,"$224,911",$4094.66
Exmo,WAVES/BTC,"$221,728",$4076.52
Bittrex,ZEN/BTC,"$220,630",$4137.35
Poloniex,XBC/BTC,"$219,909",$4135.60
C-CEX,ETH/BTC,"$217,667",$4105.11
Liqui,PAY/BTC,"$216,239",$4101.25
Bittrex,CRB/BTC,"$209,952",$4033.08
Bittrex,DAR/BTC,"$209,333",$4137.62
Nevbit,BTC/PLN,"$208,117",$3776.03
Lykke Exchange,BTC/CHF,"$207,078",$4140.44
Kraken,REP/BTC,"$206,379",$4435.29
Poloniex,NAUT/BTC,"$206,070",$4184.02
Coinsquare,ETH/BTC,"$204,247",$3979.07
SurBTC,BTC/CLP,"$202,414",$4219.04
Bittrex,ADT/BTC,"$201,011",$4135.40
Bitcoin Indonesia,ETH/BTC,"$198,116",$4136.41
Lykke Exchange,BTC/EUR,"$194,250",$4213.23
Poloniex,FLDC/BTC,"$188,612",$4120.89
Poloniex,NXC/BTC,"$188,296",$4156.91
Lykke Exchange,BTC/LKK,"$187,704",$4158.22
The Rock Trading,BTC/USD,"$185,555",$4200.00
Bittrex,SPHR/BTC,"$179,265",$4099.21
Bittrex,MUE/BTC,"$177,796",$4137.62
Bittrex,FAIR/BTC,"$176,912",$4137.61
Poloniex,PPC/BTC,"$176,523",$4069.34
Bittrex,DRACO/BTC,"$175,986",$4111.39
Bittrex,NXC/BTC,"$170,918",$4065.06
Poloniex,VTC/BTC,"$169,318",$4103.00
Poloniex,NAV/BTC,"$168,687",$4152.38
Bittrex,UNB/BTC,"$168,401",$4137.61
Poloniex,OMNI/BTC,"$167,367",$4280.03
Bittrex,DGD/BTC,"$165,283",$4132.04
Cryptopia,COE/BTC,"$162,803",$4138.44
Cryptopia,ARK/BTC,"$159,019",$4058.67
Novaexchange,BCC/BTC,"$158,024",$4190.08
Bittrex,BITB/BTC,"$156,420",$4068.52
Poloniex,BCY/BTC,"$156,373",$4127.17
Bittrex,NBT/BTC,"$155,755",$4183.04
OpenLedger DEX,BTS/BTC,"$155,591",$3981.07
Bitcoin Indonesia,STR/BTC,"$155,432",$4321.49
Bittrex,DYN/BTC,"$153,738",$4137.62
Exmo,BTC/UAH,"$149,224",$4212.35
Poloniex,PINK/BTC,"$148,767",$4145.34
Liqui,ICN/BTC,"$148,081",$4149.89
Bittrex,PINK/BTC,"$146,456",$4129.93
Liqui,BCAP/BTC,"$146,414",$4109.04
Bittrex,EXP/BTC,"$146,067",$4133.80
Liqui,LTC/BTC,"$145,631",$4125.06
Gatehub,BTC/USD,"$144,214",$3540.45
Bittrex,GRC/BTC,"$143,384",$4130.71
Liqui,SNGLS/BTC,"$142,502",$4210.70
Exmo,LTC/BTC,"$140,958",$4105.25
Liqui,STORJ/BTC,"$140,846",$4183.12
Liqui,WAVES/BTC,"$139,535",$4140.84
Cryptopia,RDD/BTC,"$138,525",$3889.65
Liqui,EOS/BTC,"$138,168",$4148.96
BTC Trade UA,BTC/UAH,"$138,051",$4183.00
Bittrex,PPC/BTC,"$137,317",$4105.15
Bittrex,BTA/BTC,"$136,564",$4135.07
Poloniex,RIC/BTC,"$135,696",$4095.22
Bittrex,PDC/BTC,"$135,358",$4378.10
Bittrex,TIME/BTC,"$134,226",$3914.38
Livecoin,CLOAK/BTC,"$132,840",$4455.06
Cryptopia,ETH/BTC,"$132,279",$4140.58
Negocie Coins,BTC/BRL,"$130,804",$4323.84
Bittrex,GUP/BTC,"$129,776",$4020.57
YoBit,NLC2/BTC,"$129,751",$4189.29
Bittrex,GEO/BTC,"$128,361",$4380.54
Liqui,TAAS/BTC,"$128,239",$4108.85
BTC Markets,ETH/BTC,"$127,905",$4164.59
BitMEX,BTC/USD," ** $490,813,000",$4120.00
Coincheck,BTC/JPY," ** $395,786,000",$4157.82
Quoine,BTC/JPY," ** $58,616,700",$4158.71
Zaif,BTC/JPY," ** $32,199,300",$4154.29
BtcTrade,BTC/CNY," ** $13,756,100",$4197.74
BTCBOX,BTC/JPY," ** $9,008,470",$4187.71
Quoine,BTC/USD," ** $3,133,960",$4140.89
Quoine,BTC/SGD," ** $2,065,130",$4142.25
Quoine,BTC/INR," ** $1,890,540",$4840.65
Quoine,BTC/EUR," ** $1,363,470",$4142.13
Zaif,XEM/BTC," ** $860,984",$4092.60
