"Txhash","Blockno","UnixTimestamp","DateTime","From","To","Quantity"
"0x70d20439a69ee9069233453c8c174c303670a2b5e3506448363675a91eec599e","3971175","1499141978","7/4/2017 4:19:38 AM","0x0000000000000000000000000000000000000000","0x99c3c7057d0150fcfaa413a9b54e2d31f3b7f0a5","19.1472"
"0xe0d7a9e28a55ad95bba1be5154b849d63521fa6801634f839d7489cdd6d72794","3971172","1499141926","7/4/2017 4:18:46 AM","0x0000000000000000000000000000000000000000","0xd2e3c4856d25a71fa777769b5dc9596890568026","478.68"
"0x5a7247f74605b4e44499b88c1b2ee21849a57f16450e7d60be1d0db65f34985f","3971163","1499141796","7/4/2017 4:16:36 AM","0x0000000000000000000000000000000000000000","0x1414abc04d35372e9dcffb56978a9d8a0caf2d9b","3829.44"
"0x1b17ab170f347fad6e2a45c89ac6a69aac073e140b9ff62498eafa6717e7bd00","3971163","1499141796","7/4/2017 4:16:36 AM","0x0000000000000000000000000000000000000000","0x6ccab2a92700d0fc6e90922bacf1078417f1daae","2708.37144"
"0x83987d8aef2cee5c5f82b086cdd1b3494b6c774cdc75f301835b07a139516484","3971162","1499141789","7/4/2017 4:16:29 AM","0x0000000000000000000000000000000000000000","0x9e0ea57cec2b81cd9cda23745ff6405114b18465","239.34"
"0x52d3c80b1f71994ccc9628615f7f2a16438e2000ab2f275fe6f24c0cfd9d259c","3971161","1499141700","7/4/2017 4:15:00 AM","0x0000000000000000000000000000000000000000","0x277e17083a8bbf4131a3a9b11137bd17b6dee6de","4.7868"
"0x4cb184db807b364921b2e41e463fffda86e410df55030c9a21e24a1bf1dcf9c8","3971153","1499141615","7/4/2017 4:13:35 AM","0x0000000000000000000000000000000000000000","0x8753773a0796335b8d078d3dd7deef4262e0439f","235.893504"
"0x6f99911d1fc63673a82a7348f268ecf51a3d4f691f6e2776018937710174be0b","3971153","1499141615","7/4/2017 4:13:35 AM","0x0000000000000000000000000000000000000000","0x114b4b3018723b05ab92a2bff86787b1e405a7ce","239.34"
"0x32dc82ad2ffe6de339171479464b501208d9223cbd79e1e65cbcd2b6fa81a110","3971152","1499141568","7/4/2017 4:12:48 AM","0x0000000000000000000000000000000000000000","0xd1b01eb50eac81e2a0fcf89aae5b3672776596ed","475.80792"
"0x9126cf230c4e68503037bac266ffb4f6f42fb6a283d81a31ae76564e01e35417","3971140","1499141380","7/4/2017 4:09:40 AM","0x0000000000000000000000000000000000000000","0xf64b4da7a9dffccdeb0e1f8e77cb82db9241f6cc","679.7256"
"0x86b2646083f3c8fa00268480365bc1c6580c0f5a4dfa58c4f0877f644c573afd","3971138","1499141356","7/4/2017 4:09:16 AM","0x0000000000000000000000000000000000000000","0x73f40a32b2b324267ff04a425b208e27665a948c","2393.4"
"0xde9bcb5e6da20f00a4f97af8ca9d39f4040991994ea38bb8664c2475d74a1587","3971126","1499141172","7/4/2017 4:06:12 AM","0x0000000000000000000000000000000000000000","0xd23bf75d604efaf739963932a1e0aa01699bd2e3","478.68"
"0x6fe3f4a9caa21a081c0b393328a7126290e21cfacbfab87fb11c0656db559a03","3971114","1499140994","7/4/2017 4:03:14 AM","0x0000000000000000000000000000000000000000","0xe917ab3dccd5ccf5b53791112374910efe91b3b5","203.439"
"0x6636185b17cf47e3561627158f179ca802ed3a10f3847b7761bd99457fac0133","3971113","1499140962","7/4/2017 4:02:42 AM","0x0000000000000000000000000000000000000000","0x814a8ba6aa9e3178d696eb57de4e90cf28be0386","718.02"
"0xa3aaca11f84467edb19dc9aa8b5953b7953ba10298bdf6f4a2fbef2671d49709","3971113","1499140962","7/4/2017 4:02:42 AM","0x0000000000000000000000000000000000000000","0xe576a09134172f2c808def790cc52bd9ddc072e9","5744.16"
"0x1bd266ad91cf27d48fd013d951095745d48d360ffce0d53b206446567e04ce0c","3971080","1499140575","7/4/2017 3:56:15 AM","0x0000000000000000000000000000000000000000","0xf64b4da7a9dffccdeb0e1f8e77cb82db9241f6cc","291.9948"
"0x4305753e38d5d4ae888ca177704df01233f4a07393743ef4101569df35f870cd","3971063","1499140319","7/4/2017 3:51:59 AM","0x0000000000000000000000000000000000000000","0x29670901ff38a7826089e64cd7f7a159819dafd8","100.5228"
"0x0609d570996b97a048bcba1cedfca5b90f56abb974161a8148f9a09cfff3d1b7","3971054","1499140131","7/4/2017 3:48:51 AM","0x0000000000000000000000000000000000000000","0x4fdb367a8810a41b6e631b9997b84625abb75837","239.34"
"0x60bb053f8ecfafa82a418158bf90bf09515fbdd998471c99d66e7566696aea59","3971019","1499139671","7/4/2017 3:41:11 AM","0x0000000000000000000000000000000000000000","0x706d011080729780bff3a167dbf71aac366da1cb","478.68"
"0x2ac2a92bc21adcdca13991e803b3ae5fce287c7033151688c1b6db23337297d1","3971018","1499139659","7/4/2017 3:40:59 AM","0x0000000000000000000000000000000000000000","0x7191fe1015f9567d6f0f0e1e56b08887cc231d02","4738.932"
"0xd0c1ac857a0f29690e6c7d3f4c891483736634ce261e225aa82f88da3516188f","3971016","1499139604","7/4/2017 3:40:04 AM","0x0000000000000000000000000000000000000000","0xe576a09134172f2c808def790cc52bd9ddc072e9","4786.8"
"0xc57dbc240ee35338e045af1247d35f5b4308bb8d1b382f0069d126f95b852bf8","3971004","1499139465","7/4/2017 3:37:45 AM","0x0000000000000000000000000000000000000000","0x41a1c82603a51da855953c3d848cba3252a0b9f5","2379.0396"
"0x563742de917756d58b87fe19ffe06ce8bcf64780aee0f883bb869ec25dcc4210","3971000","1499139414","7/4/2017 3:36:54 AM","0x0000000000000000000000000000000000000000","0xf7aeb14f0988128e9a50e5d369367af0646a4308","4783.3247832"
"0x757d4dde06f256b5cc8e93c26cef793f02599d05fe8699ab3357baa1fa4e3e55","3970999","1499139345","7/4/2017 3:35:45 AM","0x0000000000000000000000000000000000000000","0x62572483fe3d714708dec82bb313365fe432375c","131.15832"
"0xf6ae49d1defbeb9bbc281e7dc3fdc8654953b855ff334b953c9664ee6c0fd4a9","3970994","1499139235","7/4/2017 3:33:55 AM","0x0000000000000000000000000000000000000000","0x7191fe1015f9567d6f0f0e1e56b08887cc231d02","2393.4"
"0xcfd23fd33c6fdaea4bf9f713a8499279111eba2718f04a1a1106127a354d3c2a","3970992","1499139188","7/4/2017 3:33:08 AM","0x0000000000000000000000000000000000000000","0x4ad1bffd1b72d30112398123552516c6344c1513","957.36"
"0x02f679c61a1b66e5d20ad5d4e5c970d5ffad13b7b6dede808034f8e8436e1cfa","3970982","1499138920","7/4/2017 3:28:40 AM","0x0000000000000000000000000000000000000000","0xbd74bfbc361b6e9ad1b26e1ab62f1fd38c62ec98","952.5732"
"0xac63dad7e04cd78474a98eb14d27aa6ab0d508389e8cf33d315456d356b05b32","3970978","1499138731","7/4/2017 3:25:31 AM","0x0000000000000000000000000000000000000000","0xb66da28a1441899c9ee0b63832c237bae7c5e08a","1675.38"
"0x884862146d799438cd3d0585fa124377e112628db761dab72a0f820e4dde4f94","3970969","1499138601","7/4/2017 3:23:21 AM","0x0000000000000000000000000000000000000000","0x4fed89409abae421cd391cba7f97125039e108a7","181.8984"
"0x63a85fb02b986cd8e782b05ed930953840bf31efb731255d7c7779535d5fba6a","3970959","1499138400","7/4/2017 3:20:00 AM","0x0000000000000000000000000000000000000000","0x18ae52914fa574063f1177fa2a9eea36b627e74e","2546.5776"
"0xad5a9e2e0c248fd0bb20e11478762eb0af058f8b2f7b20cf97e517cf1eb598b8","3970952","1499138269","7/4/2017 3:17:49 AM","0x0000000000000000000000000000000000000000","0x4806e687f298a6808006ff32d0cd24f5768cc6a9","167.538"
"0x876b6883b2acb7c558ff0916ae79d9af83f88a5c86decd599641aa71dc342a6f","3970951","1499138267","7/4/2017 3:17:47 AM","0x0000000000000000000000000000000000000000","0x938936fdad786cc8575644cede5b863e28589616","84446.614764804"
"0x85ac51e9ee0a76cca935b582860f94b75f303a9cf9d12e71bb7ef225dc00ae4b","3970945","1499138123","7/4/2017 3:15:23 AM","0x0000000000000000000000000000000000000000","0x0002a00e5986753208924f77683763bb3834f91e","477.771122744693"
"0x87c56fa52edbc525f36b7dcb355279d69f1dbfa67b11bb2bf1537b030a19fff4","3970937","1499138056","7/4/2017 3:14:16 AM","0x0000000000000000000000000000000000000000","0x3fb9a449eeaeb5ac856af2b859f7d51e824f2727","110.0964"
"0x4645f02edd492418b05d2bef20298ca84b7a1a79fa7d0c0ba10e1b3ab800c5a6","3970933","1499137972","7/4/2017 3:12:52 AM","0x0000000000000000000000000000000000000000","0xe10cf6119c5edaf0c12287d317cc8afb9ac5494b","76.5888"
"0xd31eefc96c9d4376472fed09fdaa1d134435c1b905be4f882943b6f452a3c299","3970929","1499137908","7/4/2017 3:11:48 AM","0x0000000000000000000000000000000000000000","0x20e80188fb8f520307e1b69832e5ba5b5a7c9f25","7132.332"
"0xf753c69d8705429f4b3960e275b079eb7bbde4e49859e48871bb87de9ddfae28","3970918","1499137771","7/4/2017 3:09:31 AM","0x0000000000000000000000000000000000000000","0xc7536eb1ac1e8789032032bbc86e215181b44d8a","3590.1"
"0x2dab4b6219091c48125a9b7d0b8f42e26e0b8653ae1411c6fe2cf5ebc890398e","3970914","1499137748","7/4/2017 3:09:08 AM","0x0000000000000000000000000000000000000000","0x326d47c1d8d13eef19df6e96f09ef4cd8a82477f","468.14904"
