borza,par,volume,price
Bittrex,KMD/BTC,"$766,911",$4531.37
Binance,SALT/BTC,"$763,118",$4557.34
BTCTurk,BTC/TRY,"$757,919",$4261.08
Gemini,ETH/BTC,"$757,496",$4529.37
C-CEX,MCAP/BTC,"$748,287",$4417.40
Poloniex,GAS/BTC,"$747,457",$4485.04
The Rock Trading,BTC/EUR,"$736,489",$4443.48
Bittrex,XMR/BTC,"$736,319",$4523.61
Poloniex,CLAM/BTC,"$730,185",$4494.64
Bittrex,PIVX/BTC,"$728,276",$4514.57
Bittrex,BTS/BTC,"$728,248",$4511.94
Luno,BTC/MYR,"$721,146",$4460.21
Bittrex,MCO/BTC,"$719,771",$4532.31
Kraken,LTC/BTC,"$716,532",$4523.63
Bittrex,XEL/BTC,"$694,365",$4500.73
Liqui,BTC/USDT,"$685,198",$4498.05
Cryptopia,HSR/BTC,"$682,178",$4538.24
Luno,BTC/ZAR,"$675,032",$4547.76
Bitstamp,ETH/BTC,"$674,021",$4519.53
Bittrex,DASH/BTC,"$673,142",$4521.31
Livecoin,FRST/BTC,"$665,102",$4513.23
Kraken,ICN/BTC,"$656,242",$4555.80
Mercado Bitcoin,BTC/BRL,"$654,956",$4662.00
Livecoin,XMR/BTC,"$650,940",$4573.19
Poloniex,ETC/BTC,"$649,332",$4538.07
BTC Markets,BTC/AUD,"$644,077",$4474.17
Poloniex,FCT/BTC,"$642,691",$4517.74
Bittrex,NXS/BTC,"$636,858",$4510.35
Bittrex,OK/BTC,"$636,304",$4660.20
Bittrex,RISE/BTC,"$636,022",$4611.73
HitBTC,MAID/BTC,"$617,538",$4517.72
Bittrex,NAV/BTC,"$608,596",$4518.52
GDAX,BTC/GBP,"$594,276",$4559.86
Bittrex,SC/BTC,"$591,588",$4511.53
OkCoin Intl.,BTC/USD,"$573,729",$4550.01
Coinsquare,BTC/CAD,"$569,029",$4700.09
Bittrex,PTOY/BTC,"$566,209",$4544.16
OKEx,LTC/BTC,"$565,672",$4548.25
YoBit,ATB/BTC,"$562,837",$4513.46
Liqui,BAT/BTC,"$559,824",$4532.72
Bittrex,ETC/BTC,"$553,229",$4529.86
Huobi,BCC/BTC,"$552,183", * $4525.00
OKEx,ETH/BTC,"$547,406",$4532.86
Bittrex,RDD/BTC,"$540,044",$4512.27
Livecoin,BCH/BTC,"$531,723",$4564.26
Liqui,ETH/BTC,"$529,757",$4517.60
Poloniex,ZRX/BTC,"$528,715",$4494.04
xBTCe,BTC/GBP,"$528,421",$4719.31
xBTCe,BTC/CNH,"$527,753",$4715.45
Livecoin,LTC/BTC,"$526,402",$4526.89
xBTCe,BTC/JPY,"$523,363",$4526.97
Poloniex,MAID/BTC,"$518,508",$4488.53
BL3P,BTC/EUR,"$517,078",$4494.30
HitBTC,STRAT/BTC,"$516,752",$4584.04
QuadrigaCX,ETH/BTC,"$503,180",$4458.24
Bitonic,BTC/EUR,"$490,299",$4467.65
Gatehub,XRP/BTC,"$483,991",$4641.23
Bittrex,PPC/BTC,"$478,649",$4699.61
Livecoin,LSK/BTC,"$476,894",$4488.33
Negocie Coins,BTC/BRL,"$474,931",$4659.78
HitBTC,LSK/BTC,"$472,097",$4580.01
Bitfinex,EOS/BTC,"$459,864",$4543.47
Bittrex,LMC/BTC,"$449,618",$4598.22
CoinExchange,FLIK/BTC,"$449,242",$4530.88
Poloniex,DOGE/BTC,"$449,117",$4499.10
Bittrex,BNT/BTC,"$446,409",$4572.33
Exmo,ETH/BTC,"$443,629",$4531.06
Poloniex,GNT/BTC,"$442,730",$4562.26
Bittrex,FUN/BTC,"$439,295",$4477.14
Bittrex,NXC/BTC,"$432,707",$4528.72
HitBTC,LRC/BTC,"$431,708",$4498.08
LakeBTC,BTC/CAD,"$427,146",$4621.37
Novaexchange,ETHD/BTC,"$423,861",$4400.71
Bittrex,VIA/BTC,"$418,411",$4533.60
Bittrex,ADT/BTC,"$418,317",$4491.55
Bittrex,STEEM/BTC,"$416,625",$4555.96
Poloniex,OMG/BTC,"$413,480",$4545.42
HitBTC,XEM/BTC,"$412,603",$4966.08
Liqui,GNT/BTC,"$412,479",$4546.63
COSS,COSS/BTC,"$412,370",$4290.87
Bit-Z,XPM/BTC,"$410,826",$4517.35
Poloniex,FLO/BTC,"$400,198",$4555.51
Tidex,BCH/BTC,"$398,200",$4430.36
Bitso,BTC/MXN,"$397,055",$4409.14
Binance,FUN/BTC,"$396,304",$4500.87
Bittrex,KORE/BTC,"$395,947",$4512.14
Bit-Z,PPC/BTC,"$388,132",$4745.40
Poloniex,POT/BTC,"$384,978",$4506.96
Poloniex,EMC2/BTC,"$384,652",$4523.29
Livecoin,BCC/BTC,"$383,286",$4493.60
Cryptopia,ODN/BTC,"$373,594",$4518.58
YoBit,DASH/BTC,"$372,319",$4496.91
Bittrex,POT/BTC,"$365,270",$4522.29
Poloniex,SC/BTC,"$361,440",$4511.53
TCC Exchange,TCC/BTC,"$359,659",$4551.83
xBTCe,DASH/BTC,"$355,675",$4415.03
Bittrex,ARDR/BTC,"$355,372",$4325.63
Poloniex,GAME/BTC,"$353,374",$4483.93
Liqui,KNC/BTC,"$339,919",$4566.13
Poloniex,VTC/BTC,"$330,979",$4511.06
Nevbit,BTC/PLN,"$328,489",$4426.44
Bitfinex,ETP/BTC,"$328,160",$4545.13
Exmo,BTC/EUR,"$324,709",$4408.28
Exmo,DASH/BTC,"$322,289",$4492.61
Liqui,VEN/BTC,"$321,296",$4725.06
HitBTC,CDT/BTC,"$318,525",$4480.75
Binance,CTR/BTC,"$316,790",$4563.46
Poloniex,STEEM/BTC,"$311,219", * $4580.14
Kraken,ZEC/BTC,"$310,450",$4527.34
Poloniex,ARDR/BTC,"$310,026",$4343.13
Cryptopia,NEBL/BTC,"$309,711",$4809.79
Bittrex,DCR/BTC,"$309,514",$4486.16
Bittrex,GRS/BTC,"$308,197",$4546.00
Bittrex,SHIFT/BTC,"$307,906",$4643.25
C-CEX,ETH/BTC,"$306,308",$4492.17
CoinExchange,VOISE/BTC,"$304,588",$4246.81
xBTCe,BTC/EUR,"$303,656",$4115.14
Gate.io,QTUM/BTC,"$301,872",$4412.54
HitBTC,XTZ/BTC,"$300,587",$4529.96
Bittrex,IOC/BTC,"$300,263",$4513.46
Bitfinex,ETC/BTC,"$296,221",$4531.46
Bittrex,FCT/BTC,"$295,092",$4544.18
Bittrex,BAY/BTC,"$290,380",$4566.62
Liqui,SNM/BTC,"$290,097",$4456.53
Bittrex,XZC/BTC,"$285,690",$4470.48
HitBTC,LTC/BTC,"$275,257",$4510.83
Exmo,WAVES/BTC,"$272,673",$4521.11
bitFlyer,ETH/BTC,"$272,379",$4517.56
Novaexchange,BDL/BTC,"$271,992",$4585.08
CoinExchange,PURA/BTC,"$271,901",$4497.06
Bittrex,SNT/BTC,"$269,360",$4556.39
DSX,BTC/USD,"$262,676",$4506.08
Bittrex,CLAM/BTC,"$262,568",$4547.07
Bittrex,LBC/BTC,"$261,996",$4518.78
Bittrex,UBQ/BTC,"$260,357",$4514.32
WEX,BCH/BTC,"$260,232",$4569.52
Binance,SNGLS/BTC,"$259,706",$4504.59
Gate.io,ETH/BTC,"$259,452",$4453.47
Bittrex,BLK/BTC,"$256,127",$4505.09
Livecoin,VIB/BTC,"$253,702",$4567.57
Kraken,DASH/BTC,"$253,238",$4492.69
Bitstamp,LTC/BTC,"$246,918",$4498.80
Kraken,XMR/BTC,"$245,098",$4505.89
Bitcoin Indonesia,XRP/BTC,"$242,797",$4504.92
Tidex,KOLION/BTC,"$242,616",$4508.19
Bittrex,TKN/BTC,"$241,569",$4535.02
bitFlyer,BCH/BTC,"$241,339",$4591.30
Bittrex,EXP/BTC,"$238,142",$4514.97
Poloniex,PPC/BTC,"$236,998",$4799.92
Liqui,STX/BTC,"$233,012",$4525.77
Bittrex,GUP/BTC,"$232,054",$4500.34
Bit-Z,HSR/BTC,"$230,161",$4538.97
Bittrex,DOGE/BTC,"$228,640",$4499.10
Poloniex,DCR/BTC,"$225,730",$4509.86
Bittrex,SYS/BTC,"$224,323",$4484.52
Bittrex,CURE/BTC,"$224,092",$4512.09
Bittrex,SPR/BTC,"$222,785",$4523.76
CoinExchange,BLAS/BTC,"$221,358",$4519.36
Novaexchange,CMP/BTC,"$219,302",$4513.42
CoinExchange,ELIX/BTC,"$215,841",$4495.21
Poloniex,VIA/BTC,"$210,054",$4475.29
Koinim,BTC/TRY,"$209,326",$4393.74
Bittrex,MUE/BTC,"$207,139",$4612.18
Gatehub,BTC/USD,"$205,538",$4471.06
Liqui,BMC/BTC,"$205,171",$4474.15
Bittrex,1ST/BTC,"$204,749",$4482.05
BTC-Alpha,XMR/BTC,"$203,980",$4508.55
YoBit,BTC/RUR,"$202,020",$4483.56
LiteBit.eu,BTC/EUR,"$200,931",$4550.73
Binance,BQX/BTC,"$197,839",$4809.75
BTC-Alpha,ZEC/BTC,"$196,291",$4531.79
Poloniex,REP/BTC,"$195,205",$4527.96
Altcoin Trader,BTC/ZAR,"$193,758",$4591.56
Bittrex,QRL/BTC,"$193,589",$4529.86
CoinExchange,ETH/BTC,"$193,289",$4517.63
CoinMate,BTC/EUR,"$188,155",$4470.13
Lykke Exchange,BTC/USD,"$187,628",$4450.00
EasyCoin,BTC/PLN,"$185,573",$4495.85
CEX.IO,ETH/BTC,"$184,332",$4514.68
WEX,ETH/BTC,"$183,363",$4526.74
Bittrex,WINGS/BTC,"$178,077",$4475.23
Livecoin,TIME/BTC,"$176,756",$4399.18
Tidex,MSD/BTC,"$175,962",$4526.95
LocalTrade,BTC/USD,"$175,660",$4469.99
CEX.IO,BTC/EUR,"$174,479",$4474.80
Bit2C,BTC/ILS,"$174,441",$4634.24
Poloniex,XCP/BTC,"$172,627",$4515.18
Bittrex,LUN/BTC,"$171,794",$4502.29
Bitex.la,BTC/USD,"$170,242",$4500.00
Bittrex,MAID/BTC,"$170,176",$4497.61
Bittrex,SAFEX/BTC,"$169,506",$4597.80
CoinExchange,DALC/BTC,"$166,005",$4519.98
Novaexchange,FAL/BTC,"$165,888",$4678.63
YoBit,CWXT/BTC,"$164,915",$4517.56
BTC-Alpha,ETH/BTC,"$164,228",$4524.37
Bittrex,EBST/BTC,"$162,910",$4513.45
Bittrex,CFI/BTC,"$162,186",$4569.48
Cryptopia,ETH/BTC,"$161,887",$4509.17
Bittrex,BURST/BTC,"$161,133",$4482.49
Cryptopia,ORME/BTC,"$160,548",$4517.35
Kraken,BTC/CAD,"$159,424",$4536.07
Bitstamp (Ripple Gateway),XRP/BTC,"$158,899",$4571.94
Binance,MDA/BTC,"$157,008",$4528.26
Poloniex,CVC/BTC,"$155,324",$4531.34
Liqui,MGO/BTC,"$155,265",$4501.08
Poloniex,NAV/BTC,"$153,801",$4503.08
LocalTrade,BTC/ZAR,"$153,622",$4515.53
Bittrex,THC/BTC,"$152,815",$4513.45
CoinExchange,INXT/BTC,"$151,564",$4562.69
Bittrex,NMR/BTC,"$150,520",$4521.11
Poloniex,LBC/BTC,"$147,853",$4516.64
Bittrex,ANT/BTC,"$146,423",$4580.02
Bitcoin Indonesia,NXT/BTC,"$145,668",$4555.75
Huobi,ETH/BTC,"$145,141", * $4532.76
Bittrex,STORJ/BTC,"$143,695",$4522.05
Cryptopia,MSP/BTC,"$141,906",$4636.75
Bittrex,ZEN/BTC,"$141,127",$4513.76
Bittrex,CLOAK/BTC,"$138,998",$4571.15
QuadrigaCX,BTC/USD,"$136,399",$4499.90
BitMEX,BTC/USD," ** $260,703,000",$4536.90
Coincheck,BTC/JPY," ** $103,055,000",$4493.21
Fisco,BTC/JPY," ** $44,844,600",$4489.48
Zaif,BTC/JPY," ** $44,777,800",$4482.16
Quoine,BTC/AUD," ** $43,738,000",$4502.73
Quoine,BTC/JPY," ** $22,581,100",$4503.41
BTCBOX,BTC/JPY," ** $15,955,900",$4468.04
Quoine,BTC/HKD," ** $12,907,000",$4502.58
Quoine,BTC/PHP," ** $4,918,030",$4507.45
Quoine,BTC/USD," ** $3,832,030",$4494.26
Quoine,BTC/EUR," ** $2,772,370",$4508.86
Quoine,BTC/IDR," ** $2,277,120",$4510.81
Quoine,BTC/SGD," ** $1,620,080",$4498.73
Zaif,MONA/BTC," ** $812,301",$4486.64
Fisco,MONA/BTC," ** $811,292",$4492.00
Bit-Z,GXS/BTC," ** $572,076",$4726.84
Tidex,INPAY/BTC," ** $319,039",$4510.52
