borza,par,volume,price
Exmo,BTC/RUB,"$594,724",$4216.48
Bittrex,BRK/BTC,"$594,537",$4221.06
HitBTC,DOGE/BTC,"$584,896",$4354.59
Kraken,ICN/BTC,"$571,289",$4174.70
Bittrex,1ST/BTC,"$558,291",$4315.45
YoBit,DASH/BTC,"$557,886",$4221.06
Poloniex,AMP/BTC,"$553,924",$4268.16
HitBTC,MAID/BTC,"$547,374",$4306.50
Livecoin,LTC/BTC,"$532,376",$4310.73
Liqui,GNT/BTC,"$516,244",$4300.91
Bittrex,ANT/BTC,"$512,447",$4307.71
Bittrex,BLOCK/BTC,"$503,470",$4265.24
Liqui,STX/BTC,"$502,975",$4180.88
Bittrex,LMC/BTC,"$498,420",$3778.48
Bittrex,WINGS/BTC,"$492,954",$4273.52
Kraken,ZEC/BTC,"$482,460",$4196.48
Livecoin,DASH/BTC,"$480,746",$4236.25
xBTCe,LTC/BTC,"$472,307",$4116.76
C-CEX,EB3/BTC,"$469,080",$4276.17
Bittrex,MAID/BTC,"$463,144",$4279.04
Bittrex,EMC2/BTC,"$454,288",$4471.32
Poloniex,REP/BTC,"$444,182",$4328.29
Exmo,DASH/BTC,"$436,818",$4254.05
Bittrex,HMQ/BTC,"$435,745",$4305.58
Bittrex,RLC/BTC,"$433,898",$4181.07
Bittrex,CRB/BTC,"$417,918",$4206.76
Bittrex,MYST/BTC,"$413,318",$4287.32
Poloniex,BURST/BTC,"$406,737",$4362.15
Bittrex,AMP/BTC,"$400,715",$4247.32
Bittrex,SNGLS/BTC,"$394,087",$4496.08
Bitstamp,LTC/BTC,"$391,068",$4283.91
Waves Decentralized Exchange,WAVES/BTC,"$390,559",$4328.58
Bittrex,XZC/BTC,"$385,725",$4269.56
YoBit,BCC/BTC,"$381,646",$4334.37
Bittrex,VIA/BTC,"$370,815",$4289.49
Kraken,BTC/JPY,"$365,887",$4345.26
Exmo,BTC/EUR,"$358,156",$4320.44
Bittrex,DOGE/BTC,"$356,432",$4452.57
Bittrex,QRL/BTC,"$354,970",$4276.32
Bittrex,GUP/BTC,"$345,555",$4267.24
Bittrex,LGD/BTC,"$330,727",$4269.37
Bittrex,SHIFT/BTC,"$322,177",$4271.33
Bitex.la,BTC/USD,"$314,893",$4300.00
Novaexchange,ATCC/BTC,"$313,946",$4274.41
Kraken,XLM/BTC,"$312,517",$4766.46
YoBit,BTC/RUR,"$305,923",$4350.73
Poloniex,NXC/BTC,"$304,920",$4355.58
Bittrex,ADT/BTC,"$302,380",$4325.59
Exmo,WAVES/BTC,"$297,557",$4300.98
Bittrex,ZEN/BTC,"$295,685",$4276.17
Bittrex,VTC/BTC,"$295,429",$4435.68
Poloniex,VIA/BTC,"$293,075",$4147.67
Gatecoin,BTC/HKD,"$288,647",$4347.08
CoinMate,BTC/EUR,"$287,615",$4302.77
C-CEX,MCAP/BTC,"$287,313",$4262.42
Bittylicious,BTC/GBP,"$286,738",$4543.56
Coinsquare,BTC/CAD,"$284,847",$4409.05
Liqui,BTC/USDT,"$282,775",$4244.04
DCExchange,BTC/USD,"$282,350",$4340.51
Bittrex,BLITZ/BTC,"$281,862",$4276.15
Livecoin,LSK/BTC,"$276,735",$4177.20
Bittrex,REP/BTC,"$276,182",$4250.48
HitBTC,XRP/BTC,"$268,978",$4298.54
Bit520,BTC/CNY,"$263,151",$4255.17
Livecoin,XMR/BTC,"$260,876",$4335.92
Poloniex,GNO/BTC,"$258,935",$4366.60
YoBit,BTC/USD,"$258,882",$4189.00
Liqui,ROUND/BTC,"$255,451",$4265.59
Poloniex,NAUT/BTC,"$254,520",$3913.48
Livecoin,BCC/BTC,"$254,492",$4134.62
Bitfinex,SAN/BTC,"$245,530",$4233.92
Bittrex,XCP/BTC,"$242,206",$4077.37
Luno,BTC/NGN,"$242,051",$4217.78
Poloniex,VTC/BTC,"$238,087",$4326.91
Liqui,OMG/BTC,"$235,194",$4200.84
Liqui,SNM/BTC,"$233,834",$4231.71
Fargobase,BTC/USD,"$232,773",$4547.23
Liqui,STORJ/BTC,"$228,437",$4407.56
Allcoin,GAME/BTC,"$227,778",$4140.16
Poloniex,NAV/BTC,"$226,413",$4283.14
Liqui,PAY/BTC,"$226,250",$4299.75
Bittrex,MLN/BTC,"$221,954",$4208.36
Livecoin,TIME/BTC,"$221,258",$4215.93
Bittrex,ABY/BTC,"$212,141",$4290.19
Cryptopia,MSP/BTC,"$212,124",$4009.91
Poloniex,PASC/BTC,"$210,329",$4315.40
Nevbit,BTC/PLN,"$209,600",$3802.94
Bittrex,ION/BTC,"$208,354",$4428.93
Bittrex,NXC/BTC,"$207,306",$4223.05
Poloniex,POT/BTC,"$207,055",$4275.98
SurBTC,BTC/CLP,"$205,815",$4455.96
Coinsquare,ETH/BTC,"$203,538",$4254.45
Liqui,EDG/BTC,"$200,430",$4286.96
Novaexchange,BCC/BTC,"$200,083",$4432.22
Bittrex,TRST/BTC,"$197,397",$4279.62
HitBTC,DNT/BTC,"$196,525",$4316.18
Bittrex,IOP/BTC,"$195,781",$4008.26
Bittrex,DTB/BTC,"$195,046",$4272.70
Bittrex,TX/BTC,"$194,981",$4511.36
YoBit,NLC2/BTC,"$192,877",$4438.38
Bitcoin Indonesia,ETH/BTC,"$188,294",$4233.71
Bittrex,VOX/BTC,"$188,284",$4209.22
Bittrex,DGD/BTC,"$186,293",$4154.03
Bittrex,TKN/BTC,"$183,857",$4329.47
Liqui,ICN/BTC,"$180,717",$4319.91
Liqui,CVC/BTC,"$180,433",$3681.87
Kraken,BTC/CAD,"$179,295",$4327.01
Bittrex,GOLOS/BTC,"$178,733",$4272.74
Poloniex,XCP/BTC,"$178,334",$4475.48
Poloniex,BELA/BTC,"$176,376",$4203.74
Poloniex,OMNI/BTC,"$174,983",$4254.16
Bittrex,CLOAK/BTC,"$172,197",$4263.63
Kraken,MLN/BTC,"$171,937",$4355.28
Bittrex,RBY/BTC,"$169,654",$4276.78
Bittrex,EXP/BTC,"$169,555",$4290.14
Cryptopia,SIGT/BTC,"$169,535",$4224.26
Bittrex,NAV/BTC,"$167,846",$4271.92
Bittrex,SLS/BTC,"$165,944",$4275.88
Liqui,VSL/BTC,"$165,405",$4246.90
Liqui,LTC/BTC,"$163,781",$4322.03
Bittrex,BITB/BTC,"$161,228",$4429.95
CoinExchange,TER/BTC,"$158,976",$2513.64
Bittrex,NBT/BTC,"$156,318",$4275.10
Bittrex,NAUT/BTC,"$155,192",$4186.84
Quoine,ETH/BTC,"$154,017",$4367.98
BTER,BTM/BTC,"$153,961",$4033.34
Poloniex,NEOS/BTC,"$153,363",$4267.79
Liqui,ADX/BTC,"$153,093",$4177.65
Liqui,SNGLS/BTC,"$152,178",$4497.26
Exmo,BTC/UAH,"$147,292",$4207.04
Bittrex,CLAM/BTC,"$147,041",$4229.84
Liqui,MYST/BTC,"$146,961",$4225.31
LocalTrade,BTC/USD,"$146,595",$4291.00
Bittrex,KORE/BTC,"$145,121",$4244.97
Gatehub,BTC/USD,"$144,214",$3540.45
Bittrex,TIME/BTC,"$143,709",$4324.39
Kraken,REP/BTC,"$140,065",$4464.85
Bittrex,TKS/BTC,"$138,751",$4274.35
Liqui,MCO/BTC,"$135,022",$4224.10
Bittrex,GNO/BTC,"$133,904",$4319.73
C-CEX,ETH/BTC,"$133,789",$4348.10
Liqui,TAAS/BTC,"$133,526",$4261.15
Novaexchange,ECN/BTC,"$132,406",$4832.43
