borza,par,volume,price
Bittylicious,ETH/GBP,"$50,827",$299.77
Poloniex,STEEM/ETH,"$50,130",$293.16
HitBTC,DENT/ETH,"$50,100",$277.63
Liqui,TKN/ETH,"$49,158",$285.72
Liqui,ROUND/ETH,"$49,109",$287.52
Liqui,INCNT/ETH,"$48,805",$284.99
Liqui,RLC/ETH,"$48,712",$290.93
Bittrex,ADT/ETH,"$47,128",$286.85
Bittrex,PTOY/ETH,"$46,485",$278.30
Bittrex,LUN/ETH,"$44,437",$276.00
Novaexchange,ETH/BTC,"$43,621",$286.40
Mercatox,EOS/ETH,"$42,474",$246.21
Bittrex,XMR/ETH,"$39,148",$288.04
Bittrex,DASH/ETH,"$38,843",$279.01
HitBTC,MSP/ETH,"$38,756",$270.09
LocalTrade,ETH/LTC,"$37,544",$282.63
Bittrex,TIME/ETH,"$37,169",$282.07
LocalTrade,ETH/USD,"$37,084",$288.56
Bittrex,TKN/ETH,"$35,886",$254.05
Bittrex,CRB/ETH,"$35,884",$277.19
HitBTC,NET/ETH,"$35,161",$280.48
Kraken,ETH/JPY,"$35,139",$284.25
Waves Decentralized Exchange,ETH/BTC,"$34,417",$295.45
Lykke Exchange,ETH/BTC,"$34,212",$292.21
LocalTrade,ETH/ZAR,"$33,876",$283.02
Mercatox,ICE/ETH,"$33,568",$285.54
HitBTC,XMR/ETH,"$31,638",$284.81
LocalTrade,ETH/BTC,"$31,286",$288.56
Gatecoin,ETH/USD,"$31,200",$292.29
Bittrex,CFI/ETH,"$30,755",$275.26
Bittrex,BTS/ETH,"$30,507",$280.20
HitBTC,PAY/ETH,"$29,903",$271.70
Mercatox,CDT/ETH,"$29,544",$328.20
Bittrex,HMQ/ETH,"$28,239",$286.38
HitBTC,NDC/ETH,"$27,558",$287.10
EtherDelta,EOS/ETH,"$25,957",$270.83
Exmo,ETH/UAH,"$24,807",$286.36
Bittrex,GNO/ETH,"$23,300",$287.77
Quoine,ETH/BTC,"$23,135",$300.39
Bittrex,RLC/ETH,"$22,911",$284.52
Bittrex,WINGS/ETH,"$22,863",$283.96
COSS,ARK/ETH,"$22,574",$341.72
Bittrex,DGD/ETH,"$22,223",$286.02
BTER,EOS/ETH,"$21,022",$257.18
BTC Alpha,ETH/BTC,"$20,957",$287.06
EtherDelta,STX/ETH,"$20,956",$287.34
Bittrex,1ST/ETH,"$20,872",$296.43
Allcoin,ETH/BTC,"$19,865",$298.86
Waves Decentralized Exchange,ETH/WAVES,"$18,698",$290.75
Exrates,ETH/BTC,"$18,679",$290.35
Bittrex,LGD/ETH,"$18,613",$287.29
Exrates,ETH/USD,"$18,103",$288.88
HitBTC,OMG/ETH,"$17,814",$288.19
EtherDelta,ADX/ETH,"$16,251",$313.64
EtherDelta,MBRS/ETH,"$14,441",$285.05
LocalTrade,EDR/ETH,"$13,841",$514.11
HitBTC,PLR/ETH,"$13,728",$297.73
Mercatox,DNT/ETH,"$13,564",$246.59
Mercatox,SKIN/ETH,"$13,561",$277.15
Quoine,ETH/USD,"$13,020",$310.00
Gatehub,ETH/BTC,"$12,888",$365.72
EtherDelta,CAT/ETH,"$11,925",$287.10
HitBTC,OAX/ETH,"$11,569",$334.08
Livecoin,PLBT/ETH,"$11,445",$289.28
EtherDelta,MGO/ETH,"$11,247",$321.26
EtherDelta,CTR/ETH,"$10,738",$287.10
Kuna,ETH/UAH,"$10,713",$256.89
Cryptomate,ETH/GBP,"$10,485",$318.56
COSS,ETH/BTC,"$10,476",$299.69
BX Thailand,ETH/BTC,"$10,460",$282.13
HitBTC,QAU/ETH,"$10,176",$287.60
HitBTC,TIX/ETH,"$9,915",$237.15
Novaexchange,TME/ETH,"$9,358",$252.19
BitBay,ETH/BTC,"$8,987",$290.56
EtherDelta,PLU/ETH,"$8,872",$277.49
HitBTC,SNM/ETH,"$8,838",$244.22
HitBTC,EOS/ETH,"$8,310",$270.83
Novaexchange,CV2/ETH,"$8,086",$390.14
EtherDelta,BNB/ETH,"$6,751",$267.01
COSS,PAY/ETH,"$6,655",$300.88
OpenLedger DEX,ETH/BITBTC,"$6,309",$297.63
EtherDelta,CVC/ETH,"$6,291",$259.67
OpenLedger DEX,ETH/BTC,"$6,197",$292.33
EtherDelta,NET/ETH,"$6,179",$373.40
HitBTC,FYN/ETH,"$5,960",$355.10
BitBay,ETH/USD,"$5,905",$294.23
Novaexchange,MOON/ETH,"$5,814",$267.92
COSS,ETH/LTC,"$5,600",$264.19
HitBTC,ETC/ETH,"$5,460",$287.17
HitBTC,ZEC/ETH,"$5,449",$300.45
EtherDelta,FUN/ETH,"$5,395",$292.01
Bleutrade,ETH/BTC,"$5,180",$283.08
HitBTC,STX/ETH,"$5,142",$255.70
EtherDelta,OAX/ETH,"$4,993",$297.17
EtherDelta,BET/ETH,"$4,818",$258.28
C-CEX,ETH/USD,"$4,756",$292.20
BitBay,ETH/EUR,"$4,558",$300.44
Cryptopia,ETH/USDT,"$4,259",$301.61
COSS,BNT/ETH,"$4,115",$287.87
OpenLedger DEX,ETH/BITCNY,"$4,055",$290.38
HitBTC,DDF/ETH,"$4,025",$305.07
OpenLedger DEX,ETH/BTS,"$4,024",$279.67
Livecoin,QAU/ETH,"$3,980",$289.05
EtherDelta,SNT/ETH,"$3,960",$283.58
EtherDelta,SKIN/ETH,"$3,562",$298.32
Tidex,ETH/BTC,"$3,540",$288.51
Livecoin,FUNC/ETH,"$3,171",$283.82
COSS,TAAS/ETH,"$3,030",$296.35
EtherDelta,BAT/ETH,"$2,758",$334.48
EtherDelta,SNM/ETH,"$2,747",$289.83
CoinExchange,PURA/ETH,"$2,729",$319.96
Bitlish,ETH/EUR,"$2,556",$288.68
EtherDelta,SNGLS/ETH,"$2,426",$295.43
HitBTC,BAS/ETH,"$2,203",$282.67
Bitsane,ETH/EUR,"$2,099",$270.30
EtherDelta,HMQ/ETH,"$1,964",$324.96
Livecoin,BCH/ETH,"$1,801",$281.29
COSS,DDF/ETH,"$1,774",$304.38
EtherDelta,NXX/ETH,"$1,667",$287.10
Cryptopia,ETH/LTC,"$1,654",$277.49
Bitlish,ETH/RUB,"$1,654",$275.04
EtherDelta,STORJ/ETH,"$1,611",$258.21
COSS,FYN/ETH,"$1,601",$1041.61
Gatehub,ETH/ETC,"$1,590",$265.43
C2CX,SKY/ETH,"$1,563",$262.65
COSS,EOS/ETH,"$1,550",$262.09
Tidex,ETH/WAVES,"$1,462",$280.73
BTER,SNT/ETH,"$1,425",$245.62
COSS,CVC/ETH,"$1,403",$286.21
Novaexchange,EMP/ETH,"$1,398",$295.10
EtherDelta,ICE/ETH,"$1,317",$301.53
EtherDelta,FYN/ETH,"$1,307",$105.02
OpenLedger DEX,ETH/BITUSD,"$1,289",$290.82
Novaexchange,LTC/ETH,"$1,188",$304.41
EtherDelta,BNT/ETH,"$1,184",$305.94
HitBTC,BNT/ETH,"$1,180",$288.78
EtherDelta,EMV/ETH,"$1,035",$463.54
EtherDelta,PLBT/ETH,"$1,035",$344.16
HitBTC,TAAS/ETH,"$1,033",$277.84
COSS,SNM/ETH,"$1,018",$268.65
EtherDelta,FUCK/ETH,$978,$321.80
Cryptopia,ETH/DOGE,$962,$293.94
EtherDelta,LNK/ETH,$928,$321.28
HitBTC,UET/ETH,$819,$287.10
COSS,WAVES/ETH,$791,$297.34
Bittylicious,ETH/EUR,$770,$304.73
Waves Decentralized Exchange,COE/ETH,$769,$482.68
RippleFox,ETH/CNY,$758,$299.35
CoinExchange,BLAS/ETH,$743,$146.21
Bitsane,ETH/BTC,$704,$292.16
COSS,VRS/ETH,$697,$265.46
Novaexchange,BCH/ETH,$678,$289.49
EtherDelta,NEWB/ETH,$642,$209.91
COSS,XEM/ETH,$638,$302.96
Novaexchange,ATCC/ETH,$612,$322.78
EtherDelta,PTOY/ETH,$576,$270.62
CryptoDerivatives,EMV/ETH,$575,$170.33
Livecoin,EMC/ETH,$511,$256.08
Gatecoin,SNT/ETH,$510,$207.96
Gatecoin,PAY/ETH,$494,$273.28
Novaexchange,TIPS/ETH,$491,$1542.91
Livecoin,MNE/ETH,$478,$312.69
EtherDelta,ADT/ETH,$411,$448.06
Livecoin,THS/ETH,$395,$43.90
Bitsane,XRP/ETH,$349,$286.28
HitBTC,PLU/ETH,$326,$255.14
Stocks.Exchange,ETH/BTC,$320,$290.56
Novaexchange,UNIFY/ETH,$288,$822.84
Novaexchange,DIME/ETH,$284,$2264.55
BTER,ETC/ETH,$261,$306.74
BTER,OMG/ETH,$254,$319.96
EtherDelta,ICN/ETH,$244,$254.56
OpenLedger DEX,ICOO/ETH,$233,$287.55
Bitsane,ICN/ETH,$230,$298.56
Livecoin,UNY/ETH,$226,$256.04
EtherDelta,MCAP/ETH,$215,$309.20
BTER,QTUM/ETH,$211,$329.24
BTCC,ETH/CNY,$188,$301.03
Novaexchange,1337/ETH,$185,$294.74
Mr. Ripple,ETH/JPY,$172,$303.80
Tux Exchange,ETH/BTC,$165,$290.56
COSS,LSK/ETH,$163,$278.32
